"third_conj_not_dep_presentStem"	"third_conj_not_dep___meaning"
"291"	"appromitto"	"promise in addition (to another), promise also;"
"292"	"apscedo"	"withdraw, depart, retire; go/pass off/away; desist; recede (coasts); slough;"
"293"	"apscido"	"hew/cut off/away; separate, divide; take away violently; expel, banish; prune;"
"294"	"apscido"	"|take away violently; expel/banish; destroy (hope); amputate; prune; cut short;"
"295"	"apscindo"	"tear (away/off) (clothing); cut off/away/short; part, break, divide, separate;"
"296"	"apscondo"	"hide, conceal, secrete, \"shelter\"; leave behind; bury, engulf, swallow up; keep;"
"297"	"apsisto"	"withdraw from; desist, cease; leave off; depart, go away from; stand back;"
"298"	"apsolvo"	"free (bonds), release; acquit; vote for/secure acquittal; pay off; sum up;"
"299"	"apstergo"	"wipe off/clean/away, clean away, cleanse, strip off; banish, expel, dispel;"
"300"	"apstraho"	"drag away from, remove forcibly, abort; carry off to execution; split;"
"301"	"apstrudo"	"thrust away, conceal, hide; suppress/prevent (emotion) becoming apparent;"
"302"	"apstulo"	"to take away, withdraw;"
"303"	"apsumo"	"spend, waste, squander, use up; take up (time); consume; exhaust, wear out;"
"304"	"arboresco"	"grow into a tree, become a tree;"
"305"	"arcerso"	"send for, summon; indict/accuse; fetch, import; invite; invoke; bring on oneself"
"306"	"arcesso"	"send for, summon, indict; fetch, import; invite; invoke; bring on oneself;"
"307"	"arco"	"keep away, protect;"
"308"	"ardesco"	"catch/take fire, kindle; become ignited/inflamed/hot/eager; erupt (volcano);"
"309"	"arduvo"	"add, insert, bring/attach to, say in addition; increase; impart; associate;"
"310"	"arefacio"	"dry up, wither up, break down; make dry, dry;"
"311"	"aresco"	"become dry; dry up; wither (plants); run dry (stream/tears); languish (L=S);"
"312"	"aresco"	"become dry; dry up; wither (plants); run dry (stream/tears); languish (L+S);"
"313"	"arguo"	"prove, argue, allege; disclose; accuse, complain of, charge, blame, convict;"
"314"	"arrepo"	"creep/move stealthily towards, steal up; feel one's way, worm one's way (trust);"
"315"	"arrigo"	"set upright, tilt upwards, stand on end, raise; become sexually excited/aroused;"
"316"	"arripio"	"take hold of; seize (hand/tooth/claw), snatch; arrest; assail; pick up, absorb;"
"317"	"arrodo"	"gnaw/nibble (away part); erode, eat away(disease/chemicals). wash away (water);"
"318"	"arruo"	"heap up (earth); cover (with earth), bury;"
"319"	"arveho"	"carry, bring, convey (to); [advehor => arrive by travel, ride to];"
"320"	"ascalpo"	"scratch; scratch at;"
"321"	"ascendo"	"climb; go/climb up; mount, scale; mount up, embark; rise, ascend, move upward;"
"322"	"ascisco"	"adopt, assume; receive, admit, approve of, associate; take over, claim;"
"323"	"ascribo"	"add/state in writing, insert; appoint; enroll, enfranchise; reckon, number;"
"324"	"aspargo"	"sprinkle/strew on, splatter, splash; defile, stain; cast (slur); inflict (harm);"
"325"	"aspello"	"drive away; banish;"
"326"	"aspergo"	"sprinkle/strew on, splatter, splash; defile, stain; cast (slur); inflict (harm);"
"327"	"aspicio"	"look/gaze on/at, see, observe, behold, regard; face; consider, contemplate;"
"328"	"aspuo"	"spit (at/on);"
"329"	"assenesco"	"become old (to any thing);"
"330"	"assero"	"lay hands on/grasp; assert/state/allege; free/release; claim; protect/preserve;"
"331"	"assero"	"plant/set at/near;"
"332"	"assiccesco"	"dry out/up, become dry;"
"333"	"assido"	"sit down, take a seat; perch, alight, settle; sit by/near (to) (w/DAT);"
"334"	"assisto"	"take position/stand (near/by), attend; appear before; set/place near; defend;"
"335"	"assubrigo"	"stretch up, raise;"
"336"	"assudesco"	"sweat, break out in a sweat;"
"337"	"assuefacio"	"accustom (to), habituate, inure; make accustomed/used (to), train;"
"338"	"assuesco"	"accustom, become/grow accustomed to/used to/intimate with; make familiar;"
"339"	"assugo"	"suck towards;"
"340"	"assuo"	"sew or patch on;"
"341"	"assurgo"	"rise/stand up, rise to one's feet/from bed; climb, lift oneself; grow; soar;"
"342"	"assuscipio"	"undertake (vows);"
"343"	"asterno"	"prostrate oneself, lie prone (on);"
"344"	"astituo"	"place near/before; make to stand before;"
"345"	"astrepo"	"make a noise at, shout in support, take up a cry; assail with noise; murmur;"
"346"	"astrido"	"hiss (at);"
"347"	"astringo"	"tie up/down/back/on/together/tightly; bind, grasp, tighten, fix; form boundary;"
"348"	"astringo"	"|oblige, commit; compress, narrow, restrict; knit (brows); freeze, solidify;"
"349"	"astruo"	"build on/additional structure; heap/pile (on); add to/on, contribute, provide;"
"350"	"attendo"	"turn/stretch towards; apply; attend/pay (close) attention to, listen carefully;"
"351"	"attero"	"rub, rub against; grind; chafe; wear out/down/away; diminish, impair; waste;"
"352"	"attexo"	"add, join on, link to; weave/plait on, attach by weaving;"
"353"	"attigo"	"touch, touch/border on; reach, arrive at, achieve; mention briefly; belong to;"
"354"	"attingo"	"touch, touch/border on; reach, arrive at, achieve; mention briefly; belong to;"
"355"	"attingo"	"wipe/smear on?;"
"356"	"attinguo"	"moisten, bedew, sprinkle with a liquid;"
"357"	"attollo"	"raise/lift up/towards/to a higher position; erect, build; exalt; extol, exalt;"
"358"	"attraho"	"attract, draw/drag together/in/before/along; inhale; gather saliva; bend (bow);"
"359"	"attremo"	"tremble (at) (w/DAT);"
"360"	"attribuo"	"assign/allot/attribute/impute to; grant, pay; appoint, put under jurisdiction;"
"361"	"attulo"	"bring/carry/bear to;"
"362"	"auctumnasct"	"autumn is approaching, autumn is coming on;"
"363"	"auctumnesct"	"autumn is approaching, autumn is coming on;"
"364"	"aufugio"	"flee, flee from, shun; run/fly away, escape; disappear (things), vanish;"
"365"	"augesco"	"grow, increase in size/amount/number; develop; prosper; rise/be swollen (river);"
"366"	"auresco"	"become golden in color;"
"367"	"autumnasct"	"autumn is approaching, autumn is coming on;"
"368"	"autumnesct"	"autumn is approaching, autumn is coming on;"
"369"	"aveho"	"carry away, carry; (passive) ride away/off, sail away, go away, depart;"
"370"	"avello"	"tear/pluck/wrench away/out/off; separate by force, part; take away, wrest;"
