"third_conj_not_dep_presentStem"	"third_conj_not_dep___meaning"
"371"	"avello"	"tear/pluck/wrench away/out/off; separate by force, part; take away, wrest;"
"372"	"avello"	"tear/pluck/wrench away/out/off; separate by force, part; take away, wrest;"
"373"	"averro"	"sweep/brush away, take away, clear away (table);"
"374"	"averto"	"turn away from/aside, divert, rout; disturb; withdraw; steal, misappropriate;"
"375"	"avorro"	"sweep/brush away, take away, clear away (table);"
"376"	"avorto"	"turn away from/aside, divert, rout; disturb; withdraw; steal, misappropriate;"
"377"	"baeto"	"go;"
"378"	"barbesco"	"get a beard, begin to grow/sprout a beard;"
"379"	"batto"	"pound, beat, hit, strike; fence (with swords);"
"380"	"battuo"	"pound, beat hit, strike; fence (with swords);"
"381"	"batuo"	"pound, beat hit, strike; fence (with swords);"
"382"	"benedico"	"bless; praise; speak well of; speak kindly of (classically 2 words);"
"383"	"benefacio"	"do service/good to; make well/ably; benefit; bless; (usu. 2 words);"
"384"	"beto"	"go;"
"385"	"bibo"	"drink; toast; visit, frequent (w/river name); drain, draw off; thirst for; suck;"
"386"	"bilbo"	"make a noise like a liquid agitated in a vessel; (slosh?);"
"387"	"bito"	"go;"
"388"	"boo"	"cry aloud, roar, bellow; call loudly upon;"
"389"	"bovo"	"cry aloud, roar, bellow; call loudly upon;"
"390"	"bravio"	"gamble;"
"391"	"brutesco"	"become brutish/rough/unreasonable;"
"392"	"bubo"	"cry like a bittern (bird that booms/roars like an ox during mating);"
"393"	"bullesco"	"bubble; form bubbles;"
"394"	"cado"	"fall, sink, drop, plummet, topple; be slain, die; end, cease, abate; decay;"
"395"	"caedo"	"chop, hew, cut out/down/to pieces; strike, smite, murder; slaughter; sodomize;"
"396"	"caedo"	"chop, hew, cut out/down/to pieces; strike, smite, murder; slaughter; sodomize;"
"397"	"calefacio"	"make warm/hot (exert/ferment); heat; excite/rouse; vex/trouble; pursue eagerly;"
"398"	"calesco"	"grow/become warm/hot; be heated; become inflamed (w/love/lust); be inspired;"
"399"	"calfacio"	"make warm/hot (exert/ferment); heat; excite/rouse; vex/trouble; pursue eagerly;"
"400"	"calficio"	"make warm/hot (exertion/fermentation); heat; excite, rouse; vex, trouble;"
"401"	"callisco"	"grow insensitive; become dull/insensible (L+S);"
"402"	"calvesco"	"lose one's hair, become bald; molt (birds); become bare/empty of vegetation;"
"403"	"calvo"	"deceive, intrigue/use subterfuge/tricks against; be tricked/deceived (PASS);"
"404"	"cancerasco"	"become cancerous; be afflicted with cancer; suppurate like a cancer;"
"405"	"candefacio"	"make dazzling white; make glowing; heat, make hot;"
"406"	"candesco"	"grow/become light/bright white; begin to glisten/radiate; become (red) hot;"
"407"	"candifico"	"make dazzlingly white;"
"408"	"canesco"	"become covered in white, whiten; grow old/hoary; be/grow white/gray with age;"
"409"	"cano"	"sing, celebrate, chant; crow; recite; play (music)/sound (horn); foretell;"
"410"	"cano"	"sing, celebrate, chant; crow; recite; play (music)/sound (horn); foretell;"
"411"	"capesco"	"grasp, take; undertake, manage; pursue with zeal; carry out orders; (=capesso);"
"412"	"capesso"	"grasp, take, seize eagerly; undertake, manage; pursue w/zeal; carry out orders;"
"413"	"capio"	"take hold, seize; grasp; take bribe; arrest/capture; put on; occupy; captivate;"
"414"	"capisso"	"grasp, take, seize eagerly; undertake, manage; pursue w/zeal; carry out orders;"
"415"	"capso"	"seize (only PRES form which is FUT); take bribe; capture; occupy; captivate;"
"416"	"carbonesco"	"become charcoal;"
"417"	"caresco"	"want, be without;"
"418"	"caro"	"card/comb (wool/flax/etc.);"
"419"	"carpo"	"seize/pick/pluck/gather/browse/tear off; graze/crop; tease/pull out/card (wool);"
"420"	"carpo"	"|separate/divide, tear down; carve; despoil/fleece; pursue/harry; consume/erode;"
"421"	"carro"	"card/comb (wool/flax/etc.);"
"422"	"cavefacio"	"take precautions/defensive action, beware, avoid; give/get surety; stipulate;"
"423"	"cedo"	"go/pass (from/away); withdraw/retire/leave; step aside/make way; take place of;"
"424"	"cedo"	"|grant, concede, yield, submit; fall back/to; happen/result; start (period);"
"425"	"celebresco"	"become famous/renowned/celebrated;"
"426"	"cerno"	"sift, separate, distinguish, discern, resolve, determine; see; examine; decide;"
"427"	"certisco"	"become more certain/sure/determined?;"
"428"	"cillo"	"move, put in motion;"
"429"	"cimico"	"purify from bugs; exterminate; debug;"
"430"	"cineresco"	"turn into ash/ashes;"
"431"	"cingo"	"surround/encircle/ring; enclose; beleaguer; accompany; gird, equip; ring (tree);"
"432"	"circuago"	"drive/lead around; turn (around); wheel, revolve; upset; change opinions, sway;"
"433"	"circumago"	"drive/lead around; turn (around); wheel, revolve; upset; change opinions, sway;"
"434"	"circumaspicio"	"look around; consider;"
"435"	"circumcaedo"	"cut/make incision around, ring; clip; circumcise; cut out; remove; diminish;"
"436"	"circumcido"	"cut/make incision around, ring; clip; circumcise; cut out; remove; diminish;"
"437"	"circumcingo"	"surround, enclose; lie around, be round; surround/encircle (with); gird about;"
"438"	"circumclaudo"	"surround; encircle/enclose/build round (w/structure); hedge/shut in, circumvent;"
"439"	"circumcludo"	"surround; encircle/enclose/build round (w/structure); hedge/shut in, circumvent;"
"440"	"circumcolo"	"dwell round about/around/nearby/in vicinity of;"
"441"	"circumcurro"	"run/extend round/about the periphery (of structures);"
"442"	"circumcurro"	"run/extend round/about the periphery (of structures);"
"443"	"circumduco"	"lead out of the way/round about; cheat, mislead, trick out of; take/go around;"
"444"	"circumduco"	"|lead/wheel/draw a line/ring around/in a circle; prolong (sound); build around;"
"445"	"circumfigo"	"fix/fasten/secure all around;"
"446"	"circumfingo"	"form around;"
"447"	"circumflecto"	"bend/turn (course) around (pivot/turning point); prolong/circumflex (vowel);"
"448"	"circumfluo"	"flow/crowd/flock around; overflow; have/be in  abundance, be rich/well supplied;"
"449"	"circumfodio"	"dig around, ease earth around (plants); surround (trees) with a trench;"
"450"	"circumfremo"	"roar/growl/utter cries of anger/protest/make a noise round;"
"451"	"circumfundo"	"pour around;"
"452"	"circumfundo"	"pour/drape/crowd around; cause (water) to go round/part; surround; distribute;"
"453"	"circumgemo"	"roar/moan/groan around;"
"454"	"circumhisco"	"stare at with open/gaping mouth;"
"455"	"circumicio"	"cast/throw or place/put/build around; put on flank of; encompass/envelop;"
"456"	"circuminicio"	"throw up all around;"
"457"	"circuminjicio"	"throw up all around;"
"458"	"circuminvolvo"	"involve/cover all around, enclose, envelop;"
"459"	"circumio"	"encircle, surround; border; skirt; circulate/wander through; go/measure round;"
"460"	"circumjicio"	"cast/throw or place/put/build around; put on flank of; encompass/envelop;"
"461"	"circumlambo"	"lick around;"
"462"	"circumlavo"	"wash round about/around, wash side of; flow all around (waters) (L+S);"
"463"	"circumlego"	"sail round; compassing by the shore (Vulgate Acts 28:13);"
"464"	"circumlino"	"smear/anoint all over (with); decorate, daub/paint around, paint background;"
"465"	"circumluo"	"wash or flow around; skirt; surround; wash upon (L+S);"
"466"	"circummingo"	"urinate/make water round/over (something);"
"467"	"circummitto"	"send around/to different parts (embassies/missions); send round, flank;"
"468"	"circumnecto"	"wrap/bind around; surround, envelop;"
"469"	"circumobruo"	"heap up earth around; cover/wrap around (L+S);"
"470"	"circumplaudo"	"surround with applause, applaud/greet/clap all around;"
"471"	"circumplecto"	"encompass; embrace/clasp; surround/encircle; enclose (w/wall); cover roundabout;"
"472"	"circumpono"	"put/set/place (all) around/on either side of; confer (Souter);"
"473"	"circumpungo"	"prick/puncture all round;"
"474"	"circumrado"	"scrape/shave/pare around;"
"475"	"circumrodo"	"nibble/gnaw/talk all round, eat off outer part of; speak about; slander;"
"476"	"circumsaepio"	"fence/hedge round/in, enclose, surround;"
"477"	"circumscalpo"	"scrape/scratch around/about;"
"478"	"circumscindo"	"tear/rip/strip (all around) (the clothes of);"
"479"	"circumscribo"	"abridge, write concise form/well-turned phrase; cheat, impose on; circumvent;"
"480"	"circumscribo"	"|draw a line/circle around; circumscribe; hem in, confine, restrict; rule out;"
"481"	"circumsepio"	"fence/hedge round/in, enclose, surround;"
"482"	"circumsero"	"plant/sow/set round (something);"
"483"	"circumsido"	"besiege/invest/blockade; surround, mob (person), beset; sit/live/settle round;"
"484"	"circumsisto"	"stand/gather/crowd/take a stand around; surround, beset; be on either side;"
"485"	"circumspargo"	"sprinkle/spray round about/around;"
"486"	"circumspergo"	"sprinkle/spray round about/around; strew/scatter round about/around (L+S);"
"487"	"circumspicio"	"look around/over/for, survey; inspect; search for/seek; examine/review; ponder;"
"488"	"circumstrepo"	"make a noise around; surround with noise; shout/cry clamorously around (person);"
"489"	"circumstringo"	"bind about, put on; tie around, surround, clothe with;"
"490"	"circumstruo"	"build round, surround with a structure (externally/internally);"
"491"	"circumsurgo"	"rise/project all around;"
"492"	"circumtego"	"cover round about;"
"493"	"circumtendo"	"cover/surround by stretching;"
"494"	"circumtero"	"rub/press/stand close/crowd on all sides; wear/rub away all around;"
"495"	"circumtollo"	"remove from every side; take/lift away all around;"
"496"	"circumtremo"	"shake/tremble all around;"
"497"	"circumvado"	"form a ring round, surround, encompass, beset, attack/assail on every side;"
"498"	"circumverro"	"sweep/clean/skim around/over;"
"499"	"circumverto"	"free (slave) by manumission; (PASS) turn (oneself) round, revolve (round);"
"500"	"circumviso"	"look round at; glare round upon;"
"501"	"circumvolvo"	"roll/revolve round, twine/coil around; wind around (w/something);"
"502"	"circumvorto"	"free (slave) by manumission; (PASS) turn (oneself) round, revolve (round);"
"503"	"clango"	"clang, make ringing noise; sound (horn); scream (eagle); speak w/ringing tone;"
"504"	"claresco"	"be illuminated; become bright/evident/clear; become loud or famous/notorious;"
"505"	"claudo"	"limp, stumble/falter/hesitate; be weak/imperfect, fall short; be lame, hobble;"
"506"	"claudo"	"close, shut, block up; conclude, finish; blockade, besiege; enclose; confine;"
"507"	"clepo"	"steal; take away secretly; overhear, listen secretly; steal/hide oneself away;"
"508"	"clingo"	"surround/encircle/ring; enclose; beleaguer; accompany; gird, equip; ring (tree);"
"509"	"clodo"	"close, shut, block up; conclude, finish; blockade, besiege; enclose; confine;"
"510"	"cludo"	"limp, halt; be weak, be imperfect;"
"511"	"cludo"	"close, shut, block up; conclude, finish; blockade, besiege; enclose; confine;"
"512"	"cluo"	"be called, be named, be reputed/spoken of/said to be; be reckoned as existing;"
"513"	"cluo"	"purify; cleanse, make clean;"
"514"	"coaccedo"	"come to or be added besides;"
"515"	"coacesco"	"become sour/acid; deteriorate; become corrupt;"
"516"	"coaddo"	"add; (ingredient); add with, add also (L+S);"
"517"	"coadulesco"	"grow up along with;"
"518"	"coaegresco"	"become sick at same time as; get sick together with;"
"519"	"coalesco"	"join/grow together; coalesce; close (wound); become unified/strong/established;"
"520"	"coalo"	"sustain/nourish together;"
"521"	"coalo"	"sustain/nourish together;"
"522"	"coaresco"	"dry up/wither together; become/run dry together;"
"523"	"coarguo"	"refute; show, demonstrate; overwhelm w/proof; silence; convict; prove guilty;"
"524"	"coassumo"	"assume together;"
"525"	"coco"	"cook; boil, fry, bake; burn, parch (sun); stir up; ripen, mature (plot); digest;"
"526"	"coemo"	"buy; buy up;"
"527"	"coepio"	"begin, commence, initiate; (rare early form, usu. shows only PERFDEF);"
"528"	"coepio"	"begin, commence, initiate; set foot on; (usu. PERF PASS w/PASS INF; PRES early);"
"529"	"coextendo"	"have same extension/expansion;"
"530"	"cognosco"	"become acquainted with/aware of; recognize; learn, find to be; inquire/examine;"
"531"	"cogo"	"collect/gather, round up, restrict/confine; force/compel; convene; congeal;"
"532"	"cohaeresco"	"cohere; stick, adhere; grow together, unite;"
"533"	"coheresco"	"cohere; stick, adhere; grow together, unite;"
"534"	"cohorresco"	"shudder; shiver/shake (from emotion/fear/cold/illness);"
"535"	"coicio"	"throw/put/pile together; conclude, infer, guess; assign, make go; classify, put;"
"536"	"coicio"	"|throw/cast/fling (into area); devote/pour (money); thrust, involve; insert;"
"537"	"coimbibo"	"drink/imbibe together/along with/at same time;"
"538"	"coincido"	"coincide;"
"539"	"coinquo"	"cut back, prune; cut off, cut down (L+S);"
"540"	"cointelligo"	"understand; presume;"
"541"	"colesco"	"join/grow together; coalesce; close (wound); become unified/strong/established;"
"542"	"collabasco"	"waver/totter/become unsteady at same time; waver/totter with;"
"543"	"collambo"	"lick thoroughly; lap/lick up; suck (up), absorb;"
"544"	"collesco"	"lighten up, become illuminated; become clear/intelligible;"
"545"	"collido"	"strike/dash together; crush, batter, deform; set into conflict with each other;"
"546"	"colligo"	"collect, assemble, bring/gather/hold/keep together; combine; harvest; pick up;"
"547"	"colligo"	"|obtain/acquire, amass; rally; recover; sum up; deduce, infer; compute, add up;"
"548"	"colligo"	"collect, assemble, bring/gather/hold/keep together; combine; harvest; pick up;"
"549"	"colligo"	"|obtain/acquire, amass; rally; recover; sum up; deduce, infer; compute, add up;"
"550"	"collino"	"besmear, smear over; soil, pollute, defile;"
"551"	"colliquefacio"	"melt, liquefy; dissolve;"
"552"	"colliquesco"	"melt, liquefy (w/in+ACC); turn into by liquefying; melt along with; dissolve;"
"553"	"colludo"	"play/sport together/with; (also) make sport; act in collusion (with);"
"554"	"colluo"	"wash/rinse out; wash/rinse away (impurities); wash together; use as a wash(?);"
"555"	"colo"	"live in (place), inhabit; till, cultivate, promote growth; foster, maintain;"
"556"	"colo"	"|honor, cherish, worship; tend, take care of; adorn, dress, decorate, embellish;"
"557"	"combibo"	"drink completely/together/up; hold back (tears); absorb, soak in; swallow up;"
"558"	"comburo"	"burn up/away; (w/love); consume/destroy w/fire; reduce to ash, cremate; scald;"
"559"	"comburo"	"burn up/away; (w/love); consume/destroy w/fire; reduce to ash, cremate; scald;"
"560"	"comedo"	"eat up/away, chew up; finish eating; fret, chafe; consume/devour; waste/squander"
"561"	"comedo"	"eat up/away, chew up; finish eating; fret, chafe; consume/devour; waste/squander"
"562"	"comedo"	"eat up/away, chew up; finish eating; fret, chafe; consume/devour; waste/squander"
"563"	"commacesco"	"grow lean;"
"564"	"commando"	"chew; (chew thoroughly/completely);"
"565"	"commaturesco"	"mature; ripen thoroughly/completely;"
"566"	"commeio"	"defile with urine, wet; soil, defile; have sexual intercourse (Adams);"
"567"	"commeio"	"defile with urine, wet; soil, defile; have sexual intercourse (Adams);"
"568"	"commingo"	"pollute, defile;"
"569"	"comminisco"	"devise, think up, invent; fabricate; state/contrive falsely, allege, pretend;"
"570"	"comminuo"	"break/crumble into pieces, shatter; break up; crush, smash, pulverize; lessen;"
"571"	"commiseresco"	"have/show pity/sympathy, commiserate;"
"572"	"commiseresct"	"one pities/sympathizes/feels sorry for (w/ACC or GEN); thou have pity upon;"
"573"	"committo"	"bring together, unite/join, connect/attach; put together, construct; entrust;"
"574"	"committo"	"|engage (battle), set against; begin/start; bring about; commit; incur; forfeit;"
"575"	"commolo"	"pound, grind down/thoroughly;"
"576"	"commonefacio"	"recall, remember; call to mind; remind (forcibly), warn, admonish; impress upon;"
"577"	"commuro"	"burn up/away; (w/love); consume/destroy w/fire; reduce to ash, cremate; scald;"
"578"	"como"	"arrange/do (hair); adorn, make beautiful; embellish; arrange in order, set out;"
"579"	"como"	"arrange/do (hair); adorn, make beautiful; embellish; arrange in order, set out;"
"580"	"comparco"	"save, husband well, lay up; forbear/abstain/refrain from (w/INF), spare (w/DAT);"
"581"	"comparco"	"save, husband well, lay up; forbear/abstain/refrain from (w/INF), spare (w/DAT);"
"582"	"comparco"	"save, husband well, lay up; forbear/abstain/refrain from (w/INF), spare (w/DAT);"
