bull	bubble, boil, effervesce;
buvin	menstruate, have monthly period (woman);
cacab	cackle; natural cry of partridge;
cachinn	laugh aloud or boisterously, guffaw; laugh loudly at;
cac	defecate; defecate upon; defile with excrement; (rude);
cacumin	make pointed or tapered; sharpen;
caec	blind; obscure, confuse, hide; morally blind; [stu ~ => throw dust, deceive];
caecult	be dim-sighted, see badly, be almost blind; be like one blind/unseeing;
cael	carve, make raised work/relief; engrave, emboss; chase, finish; embroider;
caement	cement, fasten with mortar;
caenit	dine/eat habitually (in a particular place/manner); have dinner, dine (often);
caen	dine, eat dinner/supper; have dinner with; dine on, make a meal of;
caespit	stumble;
cai	beat, thrash, cudgel;
calce	put shoes on, furnish with shoes; shoe (horses); put feet in something;
calci	put shoes on, furnish with shoes, shoe (horses); put feet in something;
calcitr	kick with heels, kick; be refractory; resist; kick convulsively (dying);
calc	tread/trample upon/under foot, crush; tamp/ram down; spurn; copulate (cock);
calcul	calculate, compute, reckon; consider as; esteem;
calec	coat with lime/whitewash, whitewash;
calefact	heat, warm; make a person warm by beating;
calic	coat with lime/whitewash, whitewash;
calig	be dark/gloomy/misty/cloudy; have bad vision; cloud; be blinded; be/make dizzy;
callig	be dark/gloomy/misty/cloudy; have bad vision; cloud; be blinded; be/make dizzy;
cal	announce, proclaim; summon, convoke, call forth/together;
cal	|let down, allow to hang free; loosen; slacken;
calv	make/leave bare;
camar	roof/vault over;
cambi	exchange, barter;
cambi	change (of money);
camer	roof/vault over;
camin	form into an oven; shape like an oven;
camps	go around; double; turn around in place;
cancell	arrange in criss-cross pattern; enclose in lattice/grid; cancel, cross out;
candic	have white appearance; be white/whitish;
candid	make glittering/bright; make white;
canoniz	canonize, elevate to sainthood; include in canon of Scripture; reduce to rules;
cantill	sing low; hum; warble, chirp (Ecc);
cantil	sing;
cantit	sing; sing repeatedly, sing over and over; sing/play often (L+S);
cant	sing; play (roles/music); recite; praise, celebrate; forewarn; enchant, bewitch;
caperr	be/become wrinkled; wrinkle (L+S); furl (sails);
capistr	provide with a halter, put a halter on a horse; fasten with a headstall; bind;
caprific	caprificate, fertilize by caprification (insects/hand puncturing wild fig);
captit	snatch at; strive eagerly after;
captiv	take captive;
capt	try/long/aim for, desire; entice; hunt legacy; try to catch/grasp/seize/reach;
capul	draw off oil from oil press; attach/halter (cattle); catch (animals);
carmin	card (wool, etc.); produce by carding;
carmin	|make verses;
carric	charge (a weapon, a battery);
casit	fall/drop down repeatedly/frequently;
cassit	drip;
