"","V1","V2"
"466","authorat","bind/pledge/oblige/engage oneself, hire oneself out; purchase (w/sibi), secure;"
"467","automatizat","automate;"
"468","autumnat","bring autumnal conditions;"
"469","autumat","say, assert; say yes; affirm; mention, speak of; name, call; reckon, judge;"
"470","auxiliat","help (w/DAT); give help/aid; assist; be helpful, be of use/avail; remedy, heal;"
"471","averruncat","avert (something bad), ward off;"
"472","avocat","call/summon away; dissuade, divert, distract; remove, take away (property);"
"473","avolat","fly/rush away/off; hasten away, flee, vanish; fly away (missile);"
"474","badissat","go, proceed; walk;"
"475","balitat","bleat;"
"476","ballat","dance;"
"477","balat","bleat, baa (like a sheep); talk foolishly;"
"478","baptizat","baptize; immerse;"
"479","barbat","supply with a beard (or perhaps a nonsense word);"
"480","basiat","kiss, give a kiss;"
"481","baubat","bark;"
"482","beatificat","bless; make happy;"
"483","bebat","bleat;"
"484","belligerat","wage or carry on war; be at war;"
"485","bellat","fight, wage war, struggle; take part in war/battle/fight (also animals/games);"
"486","belat","bleat, baa (like a sheep); talk foolishly;"
"487","beat","bless, make happy, gladden, delight; enrich (with);"
"488","binat","duplicate; binate (offer two masses in one day);"
"489","bituminat","cover/impregnate with bitumen/tar; tar;"
"490","blacterat","bleat (of a ram/sheep);"
"491","blasphemat","blaspheme (against God); revile; reproach;"
"492","blaterat","prate, babble; utter in a babbling way; (applied to sounds of certain animals);"
"493","blatterat","prate, babble; utter in a babbling way; (applied to sounds of certain animals);"
"494","blattat","prate, babble; utter in a babbling way; (applied to sounds of certain animals);"
"495","boicotizat","boycott;"
"496","bombardat","bombard;"
"497","bombilat","buzz, hum;"
"498","bombitat","buzz, hum;"
"499","boat","cry aloud, roar, bellow; call loudly upon;"
"500","botonat","button;"
"501","bovat","cry aloud, roar, bellow; call loudly upon;"
"502","braciat","brew beer;"
"503","breviat","shorten, abridge; abbreviate (speech/writing); pronounce short;"
"504","bubinat","menstruate, have monthly period (woman);"
"505","bubulcitat","drive/tend cattle; be a plowman/farm laborer; be a rustic in general;"
"506","bubulat","screech (like an owl);"
"507","buccinat","give signal with/sound trumpet/horn; blow trumpet (bucina); honk horn (Cal);"
"508","bucinat","give signal with/sound trumpet/horn; blow trumpet (bucina); honk (Cal);"
"509","bulimat","have great/insatiable hunger;"
"510","bullat","bubble, boil, effervesce;"
"511","buvinat","menstruate, have monthly period (woman);"
"512","cacabat","cackle; natural cry of partridge;"
"513","cachinnat","laugh aloud or boisterously, guffaw; laugh loudly at;"
"514","cacat","defecate; defecate upon; defile with excrement; (rude);"
"515","cacuminat","make pointed or tapered; sharpen;"
"516","caecat","blind; obscure, confuse, hide; morally blind; [stu ~ => throw dust, deceive];"
"517","caecultat","be dim-sighted, see badly, be almost blind; be like one blind/unseeing;"
"518","caelat","carve, make raised work/relief; engrave, emboss; chase, finish; embroider;"
"519","caementat","cement, fasten with mortar;"
"520","caenitat","dine/eat habitually (in a particular place/manner); have dinner, dine (often);"
"521","caenat","dine, eat dinner/supper; have dinner with; dine on, make a meal of;"
"522","caespitat","stumble;"
"523","caiat","beat, thrash, cudgel;"
"524","calceat","put shoes on, furnish with shoes; shoe (horses); put feet in something;"
"525","calciat","put shoes on, furnish with shoes, shoe (horses); put feet in something;"
"526","calcitrat","kick with heels, kick; be refractory; resist; kick convulsively (dying);"
"527","calcat","tread/trample upon/under foot, crush; tamp/ram down; spurn; copulate (cock);"
"528","calculat","calculate, compute, reckon; consider as; esteem;"
"529","calecat","coat with lime/whitewash, whitewash;"
"530","calefactat","heat, warm; make a person warm by beating;"
"531","calicat","coat with lime/whitewash, whitewash;"
"532","caligat","be dark/gloomy/misty/cloudy; have bad vision; cloud; be blinded; be/make dizzy;"
"533","calligat","be dark/gloomy/misty/cloudy; have bad vision; cloud; be blinded; be/make dizzy;"
"534","calat","announce, proclaim; summon, convoke, call forth/together;"
"535","calat","|let down, allow to hang free; loosen; slacken;"
"536","calvat","make/leave bare;"
"537","camarat","roof/vault over;"
"538","cambiat","change (of money);"
"539","camerat","roof/vault over;"
"540","caminat","form into an oven; shape like an oven;"
"541","campsat","go around; double; turn around in place;"
"542","cancellat","arrange in criss-cross pattern; enclose in lattice/grid; cancel, cross out;"
"543","candicat","have white appearance; be white/whitish;"
"544","candidat","make glittering/bright; make white;"
"545","canonizat","canonize, elevate to sainthood; include in canon of Scripture; reduce to rules;"
"546","cantillat","sing low; hum; warble, chirp (Ecc);"
"547","cantilat","sing;"
"548","cantitat","sing; sing repeatedly, sing over and over; sing/play often (L+S);"
"549","cantat","sing; play (roles/music); recite; praise, celebrate; forewarn; enchant, bewitch;"
"550","caperrat","be/become wrinkled; wrinkle (L+S); furl (sails);"
"551","capistrat","provide with a halter, put a halter on a horse; fasten with a headstall; bind;"
"552","captitat","snatch at; strive eagerly after;"
"553","captivat","take captive;"
"554","captat","try/long/aim for, desire; entice; hunt legacy; try to catch/grasp/seize/reach;"
"555","capulat","draw off oil from oil press; attach/halter (cattle); catch (animals);"
"556","carbunculat","be afflicted with a form of vine blight;"
"557","carinat","curse, abuse, revile, blame; use abusive language;"
"558","carinat","turn into/shape like a ship/hull; supply with/get/grow a shell;"
"559","carminat","card (wool, etc.); produce by carding;"
"560","carminat","|make verses;"
"561","carnificat","execute; behead; butcher; cut in pieces, mangle;"
"562","carnuficat","execute; behead; butcher; cut in pieces, mangle;"
"563","carricat","charge (a weapon, a battery);"
"564","casitat","fall/drop down repeatedly/frequently;"
"565","cassitat","drip;"
"566","cassat","totter, begin to fall; shake, waver (L+S);"
"567","cassat","bring to naught, destroy; annul, make null and void;"
"568","castificat","punish, correct; make pure;"
"569","castigat","chastise/chasten, punish; correct, reprimand/dress down, castigate; neutralize;"
"570","castrat","castrate, emasculate/unman; spay (animal); dock (tail); diminish/impair/weaken;"
"571","cataplasmat","apply a poultice/plaster (to);"
"572","catechissat","instruct in religion, teach by question and answer, catechize;"
"573","catechizat","instruct in religion, teach by question and answer, catechize;"
"574","catecizat","instruct in religion, teach by question and answer, catechize;"
"575","catenat","chain/bind/tie/shackle together; secure with bonds/chains/fetters;"
"576","catillat","lick plates;"
"577","catomidiat","lay one over shoulders of another and flog him; strike on shoulders;"
"578","causat","cause;"
"579","cauteriat","burn/mark with a branding iron, brand;"
"580","cauterizat","cauterize, burn with a hot iron; mark with a branding iron, brand;"
"581","cavernat","make hollow;"
"582","cavat","hollow out, make concave/hollow; excavate; cut/pierce through; carve in relief;"
"583","celebrat","celebrate/perform; frequent; honor/glorify; publicize/advertise; discuss/bandy;"
"584","celerat","quicken/accelerate; make haste, act quickly/be quick; hasten, hurry, do quickly;"
"585","celat","conceal, hide, keep secret; disguise; keep in dark/in ignorance; shield;"
"586","cenitat","dine/eat habitually (in a particular place/manner); have dinner, dine (often);"
"587","cenat","dine, eat dinner/supper; have dinner with; dine on, make a meal of;"
"588","centralizat","centralize;"
"589","centuplicat","increase a hundredfold;"
"590","centuriat","arrange/assign (soldiers) in military centuries; divide land into centuriae;"
"591","cerificat","make wax; spawn (of purple-fish) (make wax/prepare slimy nest for eggs);"
"592","cernulat","throw headlong; throw down (L+S);"
"593","cernuat","fall headfirst; dive; turn a somersault;"
"594","cerat","smear/coat with wax;"
"595","certificat","certify; register"
"596","certiorat","inform, show, apprise;"
"597","certat","vie (with), contest, contend/struggle (at law/politics), dispute; fight, strive;"
"598","caespitat","stumble;"
"599","cessat","be remiss/inactive; hold back, leave off, delay, cease from; rest; be free of;"
"600","chalat","let down, allow to hang free; loosen;"
"601","charazat","scratch, engrave;"
"602","charmidat","Charmidize, turn into Charmides (comic character in Plautus' play Trinummus);"
"603","chenturiat","arrange/assign (soldiers) in military centuries; divide land into centuriae;"
"604","Christianizat","profess Christianity;"
"605","cibat","feed, give food/fodder to animals/men; (also passive sense) eat, take food;"
"606","cicatricat","form a scar over;"
"607","cicurat","tame; pacify;"
"608","cinematographat","film;"
"609","circinat","bend/make circular/round; traverse circular course, wheel through; take round;"
"610","circitat","go round as a hawker/peddler/solicitor; frequent, be busy (L+S);"
"611","circat","traverse; go about (L+S); wander through;"
"612","circulat","make circular/round/curved; encircle, encompass (L+S);"
"613","circumaedificat","build round about; (Vulgate Lamentations 3:7);"
"614","circumaggerat","pile (earth) round about; surround (with heaped earth);"
"615","circumambulat","walk around/over;"
"616","circumarat","plow around, surround with a furrow;"
"617","circumcalcat","tread/trample earth (down around);"
"618","circumcircat","encircle, surround; border; skirt; circulate/wander through; go/measure round;"
"619","circumclamat","roar around (waves/surf);"
"620","circumctipat","surround, accompany, attend;"
"621","circumculcat","tread/trample earth (down around);"
"622","circumcumulat","heap/pile up around;"
"623","circumcursat","run about; run round (of person); run about (of things), revolve;"
"624","circumdat","surround; envelop, post/put/place/build around; enclose; beset; pass around;"
"625","circumdolat","chop around with an ax; hew off around (L+S);"
"626","circumequitat","ride around;"
"627","circumerrat","wander/prowl/meander/stroll/hover around; orbit, go around in orbit (planet);"
"628","circumfirmat","fasten round;"
"629","circumflagrat","blaze/scorch all around;"
"630","circumflat","blow around; blow on/assail from all sides; veer around (wind);"
"631","circumforat","pierce with holes round about;"
"632","circumfricat","rub/brush round about; scour;"
"633","circumfrict","rub/brush round about; scour;"
"634","circumgelat","freeze/harden round/all around;"
"635","circumgestat","carry/bear about/around;"
"636","circumglobat","form a ball/cluster/sphere (around something);"
"637","circumlaqueat","wind around; (like a noose);"
"638","circumlatrat","bark round about; roar around (L+S);"
"639","circumlaut","wash round about/around, wash side of; flow all around (waters) (L+S);"
"640","circumlevat","raise up all around;"
"641","circumligat","bind around/to; encircle, surround; attach, fasten; pass/wrap around, bandage;"
"642","circumlustrat","traverse (in circular course), pace around; go around (in purifying ceremony);"
"643","circummeat","go/travel/pass around;"
"644","circumnavigat","sail around; circumnavigate;"
"645","circumnotat","draw/paint around;"
"646","circumplicat","coil round (like a snake); wind (strip) around; twine/bend around;"
"647","circumplumbat","coat (all over) with lead; pour lead all around (L+S);"
"648","circumpulsat","assail/beat/pulsate from every side; (with noise, etc);"
"649","circumpurgat","clear/clean/purify/free from adhesions all around/round about;"
"650","circumputat","measure around;"
"651","circumrorat","sprinkle (water) over/round;"
"652","circumrotat","cause to revolve/rotate; turn/whirl around; turn around in a circle;"
